,File Name,land_and_ocean,Latitude,Longitude,julian_date,year,month,day
13,MOD04_3K.A2019335.1750.061.2019336180449.psgscs_000501444664.hdf,11,20.586166381835938,-100.38212585449219,2019335,2019,12,1
14,MOD04_3K.A2017131.1650.061.2017315002406.psgscs_000501444664.hdf,179,20.586017608642578,-100.43212890625,2017131,2017,5,11
15,MOD04_3K.A2017233.1750.061.2017317055830.psgscs_000501444664.hdf,-6,20.588302612304688,-100.40314483642578,2017233,2017,8,21
17,MOD04_3K.A2017256.1800.061.2017262143752.psgscs_000501444664.hdf,7,20.58908462524414,-100.37301635742188,2017256,2017,9,13
24,MOD04_3K.A2017059.1740.061.2017313034125.psgscs_000501444664.hdf,15,20.587350845336914,-100.40675354003906,2017059,2017,2,28
30,MOD04_3K.A2018101.1745.061.2018102015837.psgscs_000501444664.hdf,54,20.58649253845215,-100.3847427368164,2018101,2018,4,11
34,MOD04_3K.A2018115.1800.061.2018116080325.psgscs_000501444664.hdf,28,20.586698532104492,-100.41864776611328,2018115,2018,4,25
45,MOD04_3K.A2017088.1710.061.2017314062423.psgscs_000501444664.hdf,7,20.586654663085938,-100.41231536865234,2017088,2017,3,29
48,MOD04_3K.A2016180.1720.061.2017327041448.psgscs_000501444664.hdf,34,20.58737564086914,-100.39201354980469,2016180,2016,6,28
51,MOD04_3K.A2018117.1745.061.2018118014118.psgscs_000501444664.hdf,43,20.586101531982422,-100.38104248046875,2018117,2018,4,27
62,MOD04_3K.A2018186.1805.061.2018187080051.psgscs_000501444664.hdf,19,20.58671760559082,-100.43451690673828,2018186,2018,7,5
66,MOD04_3K.A2019065.1740.061.2019068014709.psgscs_000501444664.hdf,73,20.58740997314453,-100.39849853515625,2019065,2019,3,6
99,MOD04_3K.A2018323.1800.061.2018324081304.psgscs_000501444664.hdf,3,20.58719253540039,-100.35116577148438,2018323,2018,11,19
111,MOD04_3K.A2016100.1720.061.2017326042139.psgscs_000501444664.hdf,86,20.587610244750977,-100.38771057128906,2016100,2016,4,9
113,MOD04_3K.A2018073.1720.061.2018074014712.psgscs_000501444664.hdf,26,20.587703704833984,-100.38472747802734,2018073,2018,3,14
120,MOD04_3K.A2019047.1750.061.2019048013942.psgscs_000501444664.hdf,2,20.589202880859375,-100.42759704589844,2019047,2019,2,16
129,MOD04_3K.A2016306.1735.061.2017328180839.psgscs_000501444664.hdf,11,20.58753204345703,-100.39008331298828,2016306,2016,11,1
130,MOD04_3K.A2016091.1725.061.2017325223952.psgscs_000501444664.hdf,14,20.58747673034668,-100.39347839355469,2016091,2016,3,31
133,MOD04_3K.A2019111.1750.061.2019112010744.psgscs_000501444664.hdf,19,20.58692169189453,-100.41390991210938,2019111,2019,4,21
139,MOD04_3K.A2018074.1805.061.2018075074321.psgscs_000501444664.hdf,10,20.587657928466797,-100.37500762939453,2018074,2018,3,15
161,MOD04_3K.A2016021.1805.061.2017325064441.psgscs_000501444664.hdf,24,20.585464477539062,-100.34980010986328,2016021,2016,1,21
172,MOD04_3K.A2018133.1745.061.2018134014758.psgscs_000501444664.hdf,48,20.588151931762695,-100.37102508544922,2018133,2018,5,13
