id,ruta,lon,lat
0,AVLUZ,-100.4667549,20.631886761
1,AVLUZ,-100.4407671,20.641025446
2,AVLUZ,-100.440184,20.640233127
3,AVLUZ,-100.4388977,20.639778477
4,AVLUZ,-100.4382841,20.639451287
5,AVLUZ,-100.4376688,20.638861324
6,AVLUZ,-100.4371581,20.639423909
7,AVLUZ,-100.4367443,20.639587788
8,AVLUZ,-100.4362361,20.639907582
9,AVLUZ,-100.4356331,20.640158375
10,AVLUZ,-100.4352485,20.640467016
11,AVLUZ,-100.4350841,20.640630944
12,AVLUZ,-100.4347907,20.641332947
13,AVLUZ,-100.4347844,20.641371329
14,AVLUZ,-100.4346726,20.641457584
15,AVLUZ,-100.4346076,20.641496122
16,AVLUZ,-100.4343632,20.641329152
17,AVLUZ,-100.4340119,20.641046249
18,AVLUZ,-100.4320622,20.640519154
19,AVLUZ,-100.4316837,20.640469430
20,AVLUZ,-100.4310962,20.640665259
21,AVLUZ,-100.4306322,20.641242856
22,AVLUZ,-100.4303708,20.641541037
23,AVLUZ,-100.4303831,20.642054329
24,AVLUZ,-100.4302673,20.642486691
25,AVLUZ,-100.430127,20.642642408
26,AVLUZ,-100.4296868,20.642925501
27,AVLUZ,-100.4292336,20.643044557
28,AVLUZ,-100.428562,20.643412655
29,AVLUZ,-100.4281057,20.643904187
30,AVLUZ,-100.4275415,20.644695338
31,AVLUZ,-100.4269848,20.647182417
32,AVLUZ,-100.4267982,20.648120477
33,AVLUZ,-100.4264882,20.648557027
34,AVLUZ,-100.4262475,20.648800403
35,AVLUZ,-100.4256824,20.648890975
36,AVLUZ,-100.4246142,20.648668695
37,AVLUZ,-100.424318,20.648041350
38,AVLUZ,-100.4254753,20.646448467
39,AVLUZ,-100.4256991,20.645115179
40,AVLUZ,-100.4257679,20.644135395
41,AVLUZ,-100.4254993,20.642593083
42,AVLUZ,-100.4239395,20.642062247
43,AVLUZ,-100.4223965,20.641984296
44,AVLUZ,-100.4209831,20.641667894
45,AVLUZ,-100.4188188,20.641892813
46,AVLUZ,-100.416985,20.642089226
47,AVLUZ,-100.4156421,20.642219068
